     WORD         |        WORD      
     ORDER        |        ORDER     
   FREQUENCY      |      FREQUENCY   
-------------------------------------
      142         |      sperm whale  
      88          |      white whale  
      72          |       moby dick   
      61          |     captain ahab  
      56          |    project gutenberg-tm
      34          |     sperm whale’s 
      31          |    project gutenberg
      31          |      cried ahab   
      29          |         ye ye     
      27          |     captain peleg 
      25          |        aye aye    
      21          |      cried stubb  
      20          |    greenland whale
      19          |     whale’s head  
      18          |     sperm whales  
      18          |    gutenberg-tm electronic
      17          |    cried starbuck 
      16          |      stubb flask  
      16          |     whale fishery 
      16          |       cape horn   
      16          |       young man   
      16          |    electronic works
      15          |    whaling voyage 
      15          |       ivory leg   
      14          |       ere long    
      14          |      boat’s crew  
      13          |    gutenberg literary
      13          |    literary archive
      13          |    archive foundation
      12          |      feet length  
      12          |    captain bildad 
      12          |    ship’s company 
      12          |      ahab stood   
      12          |      great sperm  
      11          |     board pequod  
      11          |      chief mate   
      11          |       feet long   
      11          |        aye sir    
      11          |     white whale’s 
      11          |    electronic work
      10          |     pequod meets  
      10          |     poor queequeg 
      10          |        ye men     
      10          |    starbuck stubb 
      10          |         ha ha     
       9          |     father mapple 
       9          |       good time   
       9          |     peleg bildad  
       9          |       don’t ye    
       9          |      whale whale  
       9          |      mortal man   
       9          |    beneath surface
       9          |       ye cried    
       9          |    terms agreement
       8          |     great whales  
       8          |    great leviathan
       8          |      whale ship   
       8          |       long time   
       8          |       good deal   
       8          |       fore aft    
       8          |      poor fellow  
       8          |        ye man     
       8          |      ship sailed  
       8          |      morning ye   
       8          |       south sea   
       8          |       open air    
       8          |       ii octavo   
       8          |      white water  
       8          |       ahab ahab   
       8          |        hark ye    
       8          |       thee thy    
       8          |    gutenberg-tm license
       7          |     whale chapter 
       7          |    heidelburgh tun
       7          |      great whale  
       7          |      point view   
       7          |    business whaling
       7          |       day night   
       7          |     what’s matter 
       7          |      board ship   
       7          |       face face   
       7          |      book folio   
       7          |        book ii    
       7          |     thought ahab  
       7          |       good hope   
       7          |      stubb stubb  
       7          |     whale struck  
       7          |     don sebastian 
       7          |      body whale   
       7          |    stricken whale 
       7          |       poor pip    
       7          |         um um     
       6          |      ahab’s boat  
       6          |     ahab starbuck 
       6          |     whale’s mouth 
       6          |      dead whale   
       6          |    whaling vessels
       6          |    american whale 
       6          |       night day   
       6          |     years voyage  
